topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
topic66,eu,kommission,brussel,eg,richtlini,national,wettbewerb,behord,kommissar,beihilf,verfahr,kartellamt,zustand,bundesregier,bundeskartellamt,mitgliedstaat,eugh,binnenmarkt,auflag,wettbewerbshut,subvention,genehm,bedenk,vorschlag,monti,wettbewerbskommissar,staatlich,genehmigt,ministerrat,europäische_kommission,europäischen_union,grenzuberschreit,regeln,europäischen_gerichtshof,hiess,streit,wettbewerbsrecht,prufung,bussgeld,bog,mario_monti,gemeinschaft,mitgliedsstaat,van_miert,europaweit,kommissarin,verstoss,pruf,bolkestein,regel,droht,umsetz,europaparlament,brüsseler_behörde,klag,beschwerd,stellung,einheit,ecu,vorgeh,bangemann,europäischen_kommission,recht,verbot,kartell,stellungnahm,kartellrecht,unabhang,streng,wettbewerbsbehord,mittwoch_in_brüssel,europäischen_gemeinschaft,verhangt,absprach,durf,karel,mitgliedsland,verordn,vertrag,entsprech,untersuch,_kommission,beschluss,innerhalb,betroff,vorleg,angemeldet,kritisiert,umgesetzt,eingeleitet,wettbewerbsverzerr,kommission_in_brüssel,vorgelegt,rechtlich,palacio,befurchtet,harmonisier,straf,freien,marktbeherrsch
 ,0.122,0.104,0.059,0.031,0.013,0.01,0.01,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic67,brasili,mexiko,argentini,brasilian,lateinamerika,mexikan,kolumbi,argentin,buenos_aires,stadt,de,venezuela,lateinamerikan,kolumbian,national,lateinamerikas,peso,sudamerikan,ecuador,region,chil,sao_paulo,real,men,ortszeit,hauptstadt,mercosur,mexikos,guerilla,bogota,guatemala,sudamerika,la,link,peru,fox,panama,bundesstaat,bolivi,chávez,san,caracas,lula,cardoso,indian,chavez,fernando,revolutionar,brasilia,staatschef,rio_de_janeiro,kongress,ausserd,paulo,chiapas,paraguay,pri,venezolan,nicaragua,pesos,uruguay,karib,kirchn,ausland,staatsprasident,provinz,rio,dezemb,jos,zapatist,gouverneur,sozial,linksgerichtet,revolution,oas,venezuelas,ernesto,januar,silva,do,farc,eln,kris,samp,urib,nachd,wirtschaftsminist,costa_rica,el_salvador,abwert,cavallo,honduras,paramilitar,zedillo,staatlich,mittelamerikan,quito,meist,ipc,collor
 ,0.037,0.029,0.025,0.016,0.013,0.013,0.013,0.011,0.01,0.009,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic68,iwf,prag,tschechisch,weltbank,kredit,tschechi,finanzminist,milliarden_dollar,internationalen_währungsfonds,washington,bulgari,bulgar,hilf,finanzkris,havel,kris,direktor,sudetendeutsch,westlich,zentralbank,wahrungsfond,unterstutz,internationale_währungsfonds,sieb,tschech,staatlich,fond,camdessus,russland,wes,ods,institution,finanz,jahrestag,vaclav_havel,zeman,fuhrend,beding,privat,finanzhilf,erklar,auslandsschuld,vertret,abwert,finanzministerium,temelin,reform,freigab,vaclav_klaus,gegenub,stabilisier,offiziell,dekret,tschechoslowakei,mrd_dm,programm,csfr,cssd,tschechoslowak,millionen_dollar,wahrung,weltwirtschaft,mlada,mitglied,milliard,wirtschaftsreform,zugesagt,privatisier,wirtschaftspolit,stabilitat,umschuld,inflation,vertrau,hilfspaket,vertreib,devisenreserv,massnahm,dnes,industrieland,marktwirtschaft,kapital,schuldenerlass,fronta,helf,volkswirtschaft,pariser_club,stellvertret,expert,horst_köhler,kurzfrist,uberwind,jung,summ,osteuropabank,wolfensohn,noviny,sollt,finanzinstitution,schnell,ministerprasident
 ,0.053,0.036,0.027,0.017,0.015,0.013,0.013,0.013,0.011,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic69,produkt,verbrauch,tonn,herstell,lebensmittel,verandert,gentechn,landwirtschaft,ernt,kaffe,produktion,bau,pro,nestlé,zuck,bio,meng,kilogramm,pflanz,milch,hergestellt,produziert,getreid,millionen_tonnen,mais,million,anbau,produzent,hektar,qualitat,rohstoff,erzeug,landwirt,brot,nahrungsmittel,oko,jahrlich,handel,lebensmitteln,gen,weltweit,angebot,kopf,weiz,food,feld,gemus,verkauft,betrieb,okolog,obst,gesund,sack,kilo,schokolad,scholl,industri,frucht,verkauf,kennzeichn,export,mark,ernahr,verpack,gramm,nachfrag,vergangenen_jahr,frisch,konsument,nestl,knapp,sort,kas,lit,laut,lieg,verband,kauf,danon,nahrung,inzwisch,butt,sudzuck,enthalt,suss,gering,ertrag,halft,fabrik,tee,weltmarkt,produzi,kartoffeln,flach,besond,verwendet,erzeugnis,saatgut,biodiesel,verarbeitet
 ,0.02,0.013,0.012,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic70,partei,parteitag,vorsitz,delegiert,lafontain,link,muntefering,sozialdemokrat,parteichef,wahl,mitglied,parteivorsitz,samstag,scharping,spitz,oskar_lafontaine,basis,landesverband,generalsekretar,fuhrung,linkspartei,stellvertret,vorstand,landesvorsitz,franz_müntefering,gewahlt,kur,sozial,parteispitz,wasg,landtagswahl,bundestagswahl,bundesvorstand,prasidium,sonderparteitag,debatt,parteifuhr,fraktionschef,kritik,wochen,kongress,bundesparteitag,programm,spitzenkandidat,geschloss,innerpartei,inhalt,diskussion,position,landesparteitag,genoss,engholm,flugel,rudolf_scharping,bundesvorsitz,red,parteivorstand,landesvorstand,antrag,bundesgeschaftsfuhr,klar,mehrheit,beschluss,profil,leitantrag,stimm,auseinandersetz,gerecht,niederlag,wahlkampf,erneuer,kanzlerkandidat,bundestagsabgeordnet,beschloss,off,parteimitglied,sitzung,mitt,programmat,amt,arbeit,personell,beifall,verabschiedet,fraktionsvorsitz,statt,intern,streit,fuhrend,grundsatzprogramm,woll,parteiintern,fraktion,parteilink,antret,viz,kandidi,wahlniederlag,alternativ,wahlprogramm
 ,0.072,0.035,0.028,0.02,0.018,0.017,0.015,0.014,0.014,0.013,0.01,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic71,tv,send,fernseh,kirch,ard,premi,film,zdf,sieb,munch,rtl,pro,grupp,em,programm,spring,medi,sat,sendung,media,fernsehs,rundfunk,digital,pay,offent,privat,rechtlich,kabel,kanal,radio,medienunternehm,zuschau,million,ubertrag,recht,murdoch,leo_kirch,medienkonz,beteil,saban,kofl,angebot,liv,prosiebensat,satellit,beteiligt,ufa,intendant,munchn,liberty,haffa,koln,gesellschaft,formel,privats,hollywood,geschaftsfuhr,einstieg,kinowelt,viva,empfang,anstalt,news,ausgestrahlt,medienkonzern,seri,box,studios,kirch_media,viacom,ausstrahl,studio,clt,bundesliga,rupert_murdoch,gehor,werbung,entertainment,wdr,kinos,kirchmedia,verlag,vermarkt,bskyb,produzent,abonnent,arena,kabelnetz,gehort,tel,kirchgrupp,haushalt,media_ag,show,seh,prosieb,kino,vox,werbeeinnahm,plus
 ,0.056,0.029,0.023,0.021,0.016,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic72,mill,dm,ag,mrd,umsatz,ergebnis,erhoht,geschaftsjahr,vorjahr,verlust,divid,stieg,grupp,konz,jahresuberschuss,je,ertrag,verbessert,gewinn,vorstand,bereich,erzielt,erreicht,vorstandsvorsitz,tocht,steu,betriebsergebnis,positiv,aufgrund,laufenden_jahr,rechnet,gestieg,leicht,steig,gegenub,dusseldorf,wachstum,gesteigert,unverandert,rd,konzernumsatz,gmbh,cash,plus,investition,dm_umsatz,kraftig,sank,ausgewies,knapp,steiger,akquisition,dr,flow,beziffert,beteil,minus,erstmal,ausserordent,inland,ertragslag,wesent,abschreib,salamand,wobei,lieg,bzw,spart,voll,konsolidiert,erreich,trotz,ersten_halbjahr,betrag,entwickl,reduziert,verbesser,kapital,nachd,erwirtschaftet,operativ,einschliess,verringert,ausschutt,ruckstell,aufwend,eigenkapital,auftragseingang,erlos,entfiel,wuch,vj,abgeschloss,laufende_jahr,berichtsjahr,sa,begrundet,belastet,vorjahresniveau,betrug
 ,0.159,0.153,0.023,0.02,0.018,0.015,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic73,rwe,strom,energi,gas,eon,on,versorg,energieversorg,wettbewerb,kraftwerk,ruhrgas,ess,enbw,stadtwerk,ag,stromversorg,erdgas,anlag,netz,strompreis,anteil,energiekonz,dusseldorf,edf,bewag,energiekonzern,strommarkt,stromerzeug,gazprom,liberalisier,konzern,kund,veag,energiepolit,hew,vattenfall,kilowattstund,energiemarkt,anbiet,megawatt,braunkohl,warm,pow,verbrauch,veba,langfrist,energiewirtschaft,energy,erneuerbar,bayernwerk,kohl,vew,milliard,stromkonzern,wind,ausbau,wass,konz,energietrag,gasversorg,gasmarkt,gaspreis,windenergi,bernotat,bundeskartellamt,erzeug,roel,tocht,kommunal,erneuerbaren_energien,haushalt,preis,kartellamt,beteil,claass,betreib,investition,regenerativ,windkraft,kuhnt,preussenelektra,regional,stromkonz,bau,energieverbrauch,stromnetz,energieunternehm,wintershall,staatlich,alternativ,vdew,solar,leistung,stromverbrauch,elektrizitat,kwh,kubikmet,viag,wat,industri
 ,0.028,0.025,0.025,0.017,0.017,0.014,0.013,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic74,wer,darf,mag,burg,endlich,recht,wirklich,lasst,anzeig,wohl,bleibt,jk,ja,gar,lang,gewiss,gest,eben,eigent,statt,niemand,gerad,vielleicht,tun,wund,vernunft,braucht,kaum,tut,genug,wahrheit,sach,wenigst,tat,scheint,not,namlich,leid,einsicht,schlimm,neue_osnabrücker_zeitung,glaubwurd,freilich,warum,allgemeine_zeitung,bitt,aug,frankfurter_allgemeine_zeitung,gegenteil,mut,ausgerechnet,allzu,fatal,wed,kopf,fehlt,verstand,geradezu,all,dumm,mannheimer_morgen,mog,kölner_stadt,tatsach,mass,kölnische_rundschau,bloss,lich,her,ehrlich,frankfurter_rundschau,tisch,badische_zeitung,peinlich,solang,realitat,moral,nürnberger_nachrichten,hand,wahr,jedenfall,munst,natur,eindruck,verdient,oberndorf,landeszeit,münchner_merkur,ebenso,wirkt,hilflos,beweis,schwarzwald,stuttgarter_nachrichten,westfälische_nachrichten,vergess,tageblatt,schlicht,versuch,nein
 ,0.015,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic75,einzeln,transparenz,unterschied,standard,risik,entsprech,instrument,bewert,insbesond,bestimmt,wesent,grundsatz,information,verschied,unabhang,jeweil,regel,rahm,kriteri,dah,analys,bzw,anforder,bedeut,beispiel,berucksicht,notwend,risiko,ansatz,intern,beispielsweis,regeln,form,method,haufig,erford,qualitat,ergebnis,bilanz,transparent,basis,vorteil,besond,besteh,einheit,sollt,stell,erfolg,erfahr,sinnvoll,kontroll,berucksichtigt,umfass,hinaus,beurteil,darub,verfug,praxis,erheb,nutz,individuell,fuhr,dr,vergleichbar,stellt,oft,sowohl,geeignet,national,aspekt,verbind,besteht,extern,regelmass,effizient,empfehl,art,grundlag,modell,gestalt,zusatz,aufgab,hinsicht,bezug,folgend,ziel,nachhalt,langfrist,ausreich,voraussetz,umsetz,sogenannt,zukunft,zunehm,bereich,verbund,definiert,gesellschaft,darstell,zusammenhang
 ,0.008,0.008,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic76,wohl,kaum,durft,eher,tatsach,zumind,lasst,freilich,scheint,gerad,immerhin,sogar,namlich,jedenfall,durchaus,schliesslich,gilt,gar,kommt,ohnehin,liegt,bleibt,recht,steht,vermut,mag,deshalb,lang,daran,eigent,zumal,ubrig,gewiss,offenbar,dennoch,spricht,gleich,hoch,keinesweg,allein,uberhaupt,eben,erscheint,ebenso,heisst,ahnlich,letzt,ind,nah,obwohl,wiederum,genau,vielleicht,vielmehr,zweifel,wahrschein,angesicht,mittlerweil,zweit,jung,gleichwohl,offensicht,liess,diesmal,allzu,stet,allenfall,blick,letztlich,derart,natur,zuletzt,schwer,schein,ersten_blick,fallt,erschein,leicht,ziemlich,art,ausserst,bedeutet,tat,insof,bescheid,abgeseh,fraglich,besond,ublich,beispielsweis,unwahrschein,einzig,wirklich,lautet,genug,gegenteil,betracht,handelt,all,erstaun
 ,0.023,0.022,0.021,0.016,0.014,0.013,0.013,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic77,verband,betrieb,bdi,handwerk,ausbild,industri,deutschen_industrie,bundesverband,bundesregier,beruf,diht,stell,lehrstell,jugend,ausbildungsplatz,angebot,zusatz,dihk,hauptgeschaftsfuhr,bewerb,kritisiert,handelstag,sollt,abgab,schaff,wirtschaftsverband,gefordert,stihl,kamm,deutschen_wirtschaft,zdh,präsident_des_bundesverbandes,auszubild,handelskamm,fachkraft,zentralverband,lehrling,zud,forder,handelskammertag,deshalb,ausreich,ford,ansicht,mangel,chanc,qualifiziert,bedarf,beginn,angesicht,platz,zugleich,fehl,rogowski,betont,bess,deutschen_handwerks,deutsche_wirtschaft,thumann,beklagt,olaf_henkel,off,spitzenverband,genug,allein,ingenieur,besond,nannt,freien,bleib,geschaff,schley,brauch,initiativ,warnt,begrusst,michael_rogowski,mittelstand,notig,bundesweit,ausgebildet,sprach,meint,fehlend,bga,verfug,durf,fuhr,einstell,freie,berufsausbild,statt,born,appelliert,luck,such,trotz,gleichzeit,zusag,handwerksbetrieb
 ,0.037,0.026,0.023,0.02,0.019,0.018,0.018,0.017,0.015,0.011,0.011,0.011,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic78,csu,munch,stoib,bayer,bay,munchn,bayern,waigel,edmund_stoiber,glos,vorsitz,seehof,freistaat,ministerprasident,beckstein,landtag,passau,gluck,regensburg,betont,strauss,erwin_huber,bayerns_ministerpräsident_edmund_stoiber,wirtschaftsminist,theo_waigel,staatsregier,bild,gauweil,streibl,zwick,staatskanzlei,gemeinsam,klar,horst_seehofer,generalsekretar,woll,erneut,landesgrupp,süddeutschen_zeitung,stamm,spitz,bundesweit,septemb,süddeutsche_zeitung,augsburg,chef_edmund_stoiber,geschloss,landshut,sprach,ministerpräsident_edmund_stoiber,kanzlerkandidat,franz_josef_strauß,renate_schmidt,bayerische_ministerpräsident,kundigt,hohlmei,bleib,straubing,wildbad_kreuth,schwesterpartei,ansicht,bayerische_ministerpräsident_edmund_stoiber,goppel,wort,nannt,minist,aschermittwoch,wiesheu,kreuth,streit,oberbayer,furth,michael_glos,sod,samstag,herb,otto_wiesheu,abendzeit,laut,montag_in_münchen,münchner_merkur,bayerischen_ministerpräsidenten,wurzburg,klausur,diskussion,gemacht,ude,faltlhaus,christsozial,dienstag_in_münchen,wochen,sach,landesgruppenchef,landtagswahl,oberpfalz,union,oberbay,protzn,trotz,thomas_goppel
 ,0.12,0.108,0.061,0.059,0.056,0.025,0.012,0.011,0.01,0.009,0.007,0.007,0.007,0.007,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic79,afghanistan,taliban,kampf,afghan,kabul,isaf,pakistan,provinz,anti,islam,gefuhrt,unterstutz,amerikan,sud,schutztrupp,radikal,hilf,tadschikistan,fuhr,terror,region,usbekistan,angriff,hauptstadt,kasachstan,kandahar,lad,grenz,nordallianz,krieg,wiederaufbau,samstag,karsai,helf,nord,islamabad,ausland,kundus,miliz,regim,nah,hauptstadt_kabul,terrorismus,teilt,sturz,unterstutzt,bislang,usbek,tadschik,fuhrung,bevolker,nachrichtenagentur,stadt,kirgisi,operation,aip,ausweit,engagement,verbundet,grupp,vertret,berichtet,duschanb,sech,mullah,osama,aufbau,einsatz,ziel,zentralasi,nasarbajew,kasach,gegn,beginn,gekomm,schah,zentralasiat,ubergangsregier,leb,massud,septemb,zunach,zuvor,sollt,ansass,radikalislam,getotet,scharif,rabbani,gefahr,hindukusch,verantwort,mandat,hilfsorganisation,mudschahedin,masar,sprach,hamid_karsai,sicherheitslag,bild
 ,0.074,0.038,0.029,0.029,0.024,0.011,0.01,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic80,indi,pakistan,indisch,kaschmir,neu_delhi,ind,islamabad,musharraf,region,grenz,kampf,kam,delhi,gefuhrt,konflikt,bundesstaat,vajpaye,bislang,unabhang,krieg,unterstutz,nepal,bangladesch,gandhi,samstag,singh,sech,trotz,khan,verantwort,pervez_musharraf,mensch,spannung,regierungschef,hindu,premierminist,bjp,grupp,bombay,fuhrt,fuhr,gekomm,begonn,ausserd,kongresspartei,muslim,moslem,acht,sieb,ging,jung,zuvor,mindest,nachd,karachi,ministerprasident,gilt,maoist,berichtet,hauptstadt,vergang,atommacht,beginn,setzt,erneut,nah,kathmandu,zusamm,bhutto,ebenfall,meist,atal,beobacht,geteilt,anschluss,versuch,gegeneinand,inzwisch,offiziell,indischen_teil_kaschmirs,nachrichtenagentur,zugleich,schritt,wirft,stell,zunach,extremist,bekannt,behari,druck,sprach,ap,hindus,gemacht,tata,oktob,benazir_bhutto,sonia,bild,leb
 ,0.069,0.059,0.038,0.014,0.011,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
